,fprs,tprs,thresholds
0,0.0,0.0,2.0
1,0.0,0.012,1.0
2,0.0,0.021333333333333333,0.99957484
3,0.0,0.02266666666666667,0.9995523
4,0.0,0.07933333333333334,0.9985538
5,0.0006666666666666666,0.07933333333333334,0.99853873
6,0.0006666666666666666,0.088,0.9983841
7,0.0006666666666666666,0.08933333333333333,0.99837166
8,0.0006666666666666666,0.19533333333333333,0.9963811
9,0.0013333333333333333,0.19533333333333333,0.9963701
10,0.0013333333333333333,0.2,0.996289
11,0.002,0.2,0.9962613
12,0.002,0.21333333333333335,0.9959674
13,0.0026666666666666666,0.21333333333333335,0.99595684
14,0.0026666666666666666,0.24933333333333332,0.99495983
15,0.0033333333333333335,0.24933333333333332,0.99495345
16,0.0033333333333333335,0.25133333333333335,0.99493575
17,0.004,0.25133333333333335,0.9949189
18,0.004,0.28,0.9939924
19,0.004666666666666667,0.28,0.99397755
20,0.004666666666666667,0.29733333333333334,0.99354976
21,0.006,0.29733333333333334,0.9935481
22,0.006,0.302,0.9934285
23,0.006666666666666667,0.302,0.9934028
24,0.006666666666666667,0.3353333333333333,0.9925419
25,0.007333333333333333,0.3353333333333333,0.99249905
26,0.007333333333333333,0.33666666666666667,0.9924374
27,0.008,0.33666666666666667,0.9924016
28,0.008,0.37866666666666665,0.9910205
29,0.008666666666666666,0.37866666666666665,0.991012
30,0.008666666666666666,0.394,0.9906007
31,0.009333333333333334,0.394,0.99058366
32,0.009333333333333334,0.396,0.9905205
33,0.01,0.396,0.99042845
34,0.01,0.39866666666666667,0.99025667
35,0.010666666666666666,0.39866666666666667,0.9902383
36,0.010666666666666666,0.4046666666666667,0.9900143
37,0.010666666666666666,0.41533333333333333,0.99
38,0.010666666666666666,0.42133333333333334,0.98963416
39,0.011333333333333334,0.42133333333333334,0.9896114
40,0.011333333333333334,0.4246666666666667,0.98947734
41,0.012,0.4246666666666667,0.9894643
42,0.012,0.4266666666666667,0.98942214
43,0.012666666666666666,0.4266666666666667,0.9894078
44,0.012666666666666666,0.44,0.98867947
45,0.013333333333333334,0.44,0.98865116
46,0.013333333333333334,0.4666666666666667,0.98719794
47,0.014,0.4666666666666667,0.9871867
48,0.014,0.476,0.98638564
49,0.014666666666666666,0.476,0.98637843
50,0.014666666666666666,0.48,0.9862954
51,0.016,0.48,0.98619866
52,0.016,0.49133333333333334,0.9857184
53,0.016666666666666666,0.49133333333333334,0.98570824
54,0.016666666666666666,0.5026666666666667,0.98482776
55,0.017333333333333333,0.5026666666666667,0.9848103
56,0.017333333333333333,0.518,0.9833946
57,0.018,0.518,0.9833061
58,0.018,0.52,0.9830631
59,0.018666666666666668,0.52,0.983043
60,0.018666666666666668,0.5226666666666666,0.9829526
61,0.019333333333333334,0.5226666666666666,0.9829413
62,0.019333333333333334,0.5233333333333333,0.9828383
63,0.02,0.5233333333333333,0.9828011
64,0.02,0.5353333333333333,0.9817748
65,0.020666666666666667,0.5353333333333333,0.9817644
66,0.020666666666666667,0.5366666666666666,0.981571
67,0.021333333333333333,0.5366666666666666,0.9815338
68,0.021333333333333333,0.542,0.9810528
69,0.023333333333333334,0.542,0.98092055
70,0.023333333333333334,0.5486666666666666,0.98005265
71,0.023333333333333334,0.5546666666666666,0.98
72,0.023333333333333334,0.5566666666666666,0.9798901
73,0.024,0.5566666666666666,0.9798608
74,0.024,0.57,0.97865766
75,0.024666666666666667,0.57,0.9786532
76,0.024666666666666667,0.5713333333333334,0.97853506
77,0.025333333333333333,0.5713333333333334,0.9785281
78,0.025333333333333333,0.5766666666666667,0.97798926
79,0.026,0.5766666666666667,0.97786796
80,0.026,0.592,0.97569203
81,0.02666666666666667,0.592,0.97552806
82,0.02666666666666667,0.5926666666666667,0.9754867
83,0.027333333333333334,0.5926666666666667,0.9754764
84,0.027333333333333334,0.5953333333333334,0.9747438
85,0.029333333333333333,0.5953333333333334,0.9746348
86,0.029333333333333333,0.6013333333333334,0.97389823
87,0.03,0.6013333333333334,0.9738563
88,0.03,0.602,0.97378075
89,0.030666666666666665,0.602,0.9737737
90,0.030666666666666665,0.6086666666666667,0.9729077
91,0.03133333333333333,0.6086666666666667,0.9728842
92,0.03133333333333333,0.6153333333333333,0.97158796
93,0.032,0.6153333333333333,0.9715603
94,0.032,0.6206666666666667,0.97076845
95,0.03266666666666666,0.6206666666666667,0.9705767
96,0.03266666666666666,0.6246666666666667,0.97025925
97,0.03266666666666666,0.63,0.97
98,0.03266666666666666,0.6346666666666667,0.9694224
99,0.03333333333333333,0.6346666666666667,0.96941197
100,0.03333333333333333,0.6466666666666666,0.9679046
101,0.034,0.6466666666666666,0.9677215
102,0.034,0.6493333333333333,0.96739477
103,0.034666666666666665,0.6493333333333333,0.9673596
104,0.034666666666666665,0.6533333333333333,0.96651155
105,0.035333333333333335,0.6533333333333333,0.96647245
106,0.035333333333333335,0.6653333333333333,0.96443886
107,0.03666666666666667,0.6653333333333333,0.9641315
108,0.03666666666666667,0.666,0.9639717
109,0.037333333333333336,0.666,0.96375144
110,0.037333333333333336,0.678,0.96181786
111,0.038,0.678,0.96166736
112,0.038,0.68,0.96127766
113,0.03933333333333333,0.68,0.9612449
114,0.03933333333333333,0.684,0.9607422
115,0.04,0.684,0.9601475
116,0.04,0.6846666666666666,0.9601063
117,0.04,0.69,0.96
118,0.04,0.6993333333333334,0.9583675
119,0.04066666666666666,0.6993333333333334,0.9583202
120,0.04066666666666666,0.7006666666666667,0.95795393
121,0.042,0.7006666666666667,0.95779234
122,0.042,0.7033333333333334,0.9569955
123,0.043333333333333335,0.7033333333333334,0.95653325
124,0.043333333333333335,0.7086666666666667,0.9546386
125,0.044,0.7086666666666667,0.9545456
126,0.044,0.71,0.9543812
127,0.04466666666666667,0.71,0.95436054
128,0.04466666666666667,0.7106666666666667,0.9542593
129,0.04533333333333334,0.7106666666666667,0.95417666
130,0.04533333333333334,0.7126666666666667,0.9534208
131,0.046,0.7126666666666667,0.9531519
132,0.046,0.7173333333333334,0.95228815
133,0.04733333333333333,0.7173333333333334,0.95224
134,0.04733333333333333,0.7226666666666667,0.9511297
135,0.048,0.7226666666666667,0.950611
136,0.048,0.7233333333333334,0.9505505
137,0.048,0.726,0.95
138,0.048,0.7293333333333333,0.94958043
139,0.048666666666666664,0.7293333333333333,0.9495278
140,0.048666666666666664,0.7313333333333333,0.9491291
141,0.05,0.7313333333333333,0.9488941
142,0.05,0.734,0.94819313
143,0.050666666666666665,0.734,0.94751745
144,0.050666666666666665,0.7393333333333333,0.94619745
145,0.051333333333333335,0.7393333333333333,0.9454937
146,0.051333333333333335,0.7426666666666667,0.94456595
147,0.052,0.7426666666666667,0.94442123
148,0.052,0.7446666666666667,0.9440076
149,0.05266666666666667,0.7446666666666667,0.9439473
150,0.05266666666666667,0.7453333333333333,0.94374835
151,0.05333333333333334,0.7453333333333333,0.9431358
152,0.05333333333333334,0.7533333333333333,0.94144696
153,0.054,0.7533333333333333,0.9414159
154,0.054,0.7553333333333333,0.94100904
155,0.05466666666666667,0.7553333333333333,0.94053274
156,0.05466666666666667,0.7573333333333333,0.94008183
157,0.05466666666666667,0.7613333333333333,0.94
158,0.05466666666666667,0.762,0.93924874
159,0.05533333333333333,0.762,0.93915063
160,0.05533333333333333,0.7626666666666667,0.9390785
161,0.056,0.7626666666666667,0.93901336
162,0.056,0.7686666666666667,0.93606603
163,0.056666666666666664,0.7686666666666667,0.9356239
164,0.056666666666666664,0.7706666666666667,0.93498826
165,0.05733333333333333,0.7706666666666667,0.9349745
166,0.05733333333333333,0.772,0.9342365
167,0.058666666666666666,0.772,0.93382853
168,0.058666666666666666,0.776,0.9323852
169,0.059333333333333335,0.776,0.9319187
170,0.059333333333333335,0.7793333333333333,0.9306319
171,0.059333333333333335,0.782,0.93
172,0.06,0.782,0.92982554
173,0.06,0.7853333333333333,0.9288304
174,0.06066666666666667,0.7853333333333333,0.92832404
175,0.06066666666666667,0.79,0.927277
176,0.06133333333333333,0.79,0.9260981
