NONHSAT096369.2,hsa-miR-135a-5p
NONHSAT096369.2,hsa-miR-758-3p
NONHSAT096369.2,hsa-miR-496
NONHSAT096369.2,hsa-miR-33b-5p
NONHSAT096369.2,hsa-miR-216a-5p
NONHSAT096369.2,hsa-miR-33a-5p
NONHSAT096376.2,hsa-miR-135b-5p
NONHSAT096376.2,hsa-miR-135a-5p
NONHSAT096376.2,hsa-miR-758-3p
NONHSAT096376.2,hsa-miR-496
NONHSAT096376.2,hsa-miR-33b-5p
NONHSAT096376.2,hsa-miR-216a-5p
NONHSAT096376.2,hsa-miR-33a-5p
NONHSAT028509.2,hsa-miR-761
NONHSAT028509.2,hsa-miR-214-3p
NONHSAT028509.2,hsa-miR-4295
NONHSAT028509.2,hsa-miR-130a-3p
NONHSAT028509.2,hsa-miR-326
NONHSAT028509.2,hsa-miR-613
NONHSAT028509.2,hsa-miR-148b-3p
NONHSAT028509.2,hsa-miR-17-5p
NONHSAT028509.2,hsa-miR-19a-3p
NONHSAT028509.2,hsa-miR-20a-5p
NONHSAT028509.2,hsa-miR-19b-3p
NONHSAT028509.2,hsa-miR-152-3p
NONHSAT028509.2,hsa-miR-454-3p
NONHSAT028509.2,hsa-miR-301a-3p
NONHSAT028509.2,hsa-miR-1
NONHSAT028509.2,hsa-miR-330-5p
NONHSAT028509.2,hsa-miR-519d-3p
NONHSAT028509.2,hsa-miR-217
NONHSAT028509.2,hsa-miR-301b
NONHSAT028509.2,hsa-miR-130b-3p
NONHSAT028509.2,hsa-miR-3619-5p
NONHSAT028509.2,hsa-miR-206
NONHSAT028509.2,hsa-miR-148a-3p
NONHSAT028509.2,hsa-miR-93-5p
NONHSAT028509.2,hsa-miR-106b-5p
NONHSAT028509.2,hsa-miR-3666
NONHSAT028509.2,hsa-miR-221-3p
NONHSAT028509.2,hsa-miR-222-3p
NONHSAT028509.2,hsa-miR-20b-5p
NONHSAT028509.2,hsa-miR-106a-5p
NONHSAT028510.2,hsa-miR-761
NONHSAT028510.2,hsa-miR-214-3p
NONHSAT028510.2,hsa-miR-4295
NONHSAT028510.2,hsa-miR-130a-3p
NONHSAT028510.2,hsa-miR-326
NONHSAT028510.2,hsa-miR-613
NONHSAT028510.2,hsa-miR-148b-3p
NONHSAT028510.2,hsa-miR-17-5p
NONHSAT028510.2,hsa-miR-19a-3p
NONHSAT028510.2,hsa-miR-20a-5p
NONHSAT028510.2,hsa-miR-19b-3p
NONHSAT028510.2,hsa-miR-152-3p
NONHSAT028510.2,hsa-miR-454-3p
NONHSAT028510.2,hsa-miR-301a-3p
NONHSAT028510.2,hsa-miR-1
NONHSAT028510.2,hsa-miR-330-5p
NONHSAT028510.2,hsa-miR-519d-3p
NONHSAT028510.2,hsa-miR-217
NONHSAT028510.2,hsa-miR-301b
NONHSAT028510.2,hsa-miR-130b-3p
NONHSAT028510.2,hsa-miR-3619-5p
NONHSAT028510.2,hsa-miR-206
NONHSAT028510.2,hsa-miR-148a-3p
NONHSAT028510.2,hsa-miR-93-5p
NONHSAT028510.2,hsa-miR-106b-5p
NONHSAT028510.2,hsa-miR-3666
NONHSAT028510.2,hsa-miR-221-3p
NONHSAT028510.2,hsa-miR-222-3p
NONHSAT028510.2,hsa-miR-20b-5p
NONHSAT028510.2,hsa-miR-106a-5p
NONHSAT028507.2,hsa-miR-761
NONHSAT028507.2,hsa-miR-214-3p
NONHSAT028507.2,hsa-miR-4295
NONHSAT028507.2,hsa-miR-130a-3p
NONHSAT028507.2,hsa-miR-326
NONHSAT028507.2,hsa-miR-613
NONHSAT028507.2,hsa-miR-148b-3p
NONHSAT028507.2,hsa-miR-17-5p
NONHSAT028507.2,hsa-miR-19a-3p
NONHSAT028507.2,hsa-miR-20a-5p
NONHSAT028507.2,hsa-miR-19b-3p
NONHSAT028507.2,hsa-miR-152-3p
NONHSAT028507.2,hsa-miR-454-3p
NONHSAT028507.2,hsa-miR-301a-3p
NONHSAT028507.2,hsa-miR-1
NONHSAT028507.2,hsa-miR-330-5p
NONHSAT028507.2,hsa-miR-519d-3p
NONHSAT028507.2,hsa-miR-217
NONHSAT028507.2,hsa-miR-301b
NONHSAT028507.2,hsa-miR-130b-3p
NONHSAT028507.2,hsa-miR-3619-5p
NONHSAT028507.2,hsa-miR-206
NONHSAT028507.2,hsa-miR-148a-3p
NONHSAT028507.2,hsa-miR-93-5p
NONHSAT028507.2,hsa-miR-106b-5p
NONHSAT028507.2,hsa-miR-3666
NONHSAT028507.2,hsa-miR-221-3p
NONHSAT028507.2,hsa-miR-222-3p
NONHSAT028507.2,hsa-miR-20b-5p
NONHSAT028507.2,hsa-miR-106a-5p
NONHSAT028514.2,hsa-miR-761
NONHSAT028514.2,hsa-miR-214-3p
NONHSAT028514.2,hsa-miR-4295
NONHSAT028514.2,hsa-miR-130a-3p
NONHSAT028514.2,hsa-miR-326
NONHSAT028514.2,hsa-miR-613
NONHSAT028514.2,hsa-miR-148b-3p
NONHSAT028514.2,hsa-miR-17-5p
NONHSAT028514.2,hsa-miR-19a-3p
NONHSAT028514.2,hsa-miR-20a-5p
NONHSAT028514.2,hsa-miR-19b-3p
NONHSAT028514.2,hsa-miR-152-3p
NONHSAT028514.2,hsa-miR-454-3p
NONHSAT028514.2,hsa-miR-301a-3p
NONHSAT028514.2,hsa-miR-1
NONHSAT028514.2,hsa-miR-330-5p
NONHSAT028514.2,hsa-miR-519d-3p
NONHSAT028514.2,hsa-miR-217
NONHSAT028514.2,hsa-miR-301b
NONHSAT028514.2,hsa-miR-130b-3p
NONHSAT028514.2,hsa-miR-3619-5p
NONHSAT028514.2,hsa-miR-206
NONHSAT028514.2,hsa-miR-148a-3p
NONHSAT028514.2,hsa-miR-93-5p
NONHSAT028514.2,hsa-miR-106b-5p
NONHSAT028514.2,hsa-miR-3666
NONHSAT028514.2,hsa-miR-221-3p
NONHSAT028514.2,hsa-miR-222-3p
NONHSAT028514.2,hsa-miR-20b-5p
NONHSAT028514.2,hsa-miR-106a-5p
NONHSAT028513.2,hsa-miR-761
NONHSAT028513.2,hsa-miR-214-3p
NONHSAT028513.2,hsa-miR-4295
NONHSAT028513.2,hsa-miR-130a-3p
NONHSAT028513.2,hsa-miR-326
NONHSAT028513.2,hsa-miR-613
NONHSAT028513.2,hsa-miR-148b-3p
NONHSAT028513.2,hsa-miR-17-5p
NONHSAT028513.2,hsa-miR-19a-3p
NONHSAT028513.2,hsa-miR-20a-5p
NONHSAT028513.2,hsa-miR-19b-3p
NONHSAT028513.2,hsa-miR-152-3p
NONHSAT028513.2,hsa-miR-454-3p
NONHSAT028513.2,hsa-miR-301a-3p
NONHSAT028513.2,hsa-miR-1
NONHSAT028513.2,hsa-miR-330-5p
NONHSAT028513.2,hsa-miR-519d-3p
NONHSAT028513.2,hsa-miR-217
NONHSAT028513.2,hsa-miR-301b
NONHSAT028513.2,hsa-miR-130b-3p
NONHSAT028513.2,hsa-miR-3619-5p
NONHSAT028513.2,hsa-miR-206
NONHSAT028513.2,hsa-miR-148a-3p
NONHSAT028513.2,hsa-miR-93-5p
NONHSAT028513.2,hsa-miR-106b-5p
NONHSAT028513.2,hsa-miR-3666
NONHSAT028513.2,hsa-miR-221-3p
NONHSAT028513.2,hsa-miR-222-3p
NONHSAT028513.2,hsa-miR-20b-5p
NONHSAT028513.2,hsa-miR-106a-5p
NONHSAT039783.2,hsa-miR-7-5p
NONHSAT039783.2,hsa-miR-4782-3p
NONHSAT039783.2,hsa-miR-219a-5p
NONHSAT039783.2,hsa-miR-361-5p
NONHSAT039762.2,hsa-miR-7-5p
NONHSAT039762.2,hsa-miR-4782-3p
NONHSAT039762.2,hsa-miR-219a-5p
NONHSAT039762.2,hsa-miR-361-5p
NONHSAT039754.2,hsa-miR-7-5p
NONHSAT039754.2,hsa-miR-4782-3p
NONHSAT039754.2,hsa-miR-219a-5p
NONHSAT039754.2,hsa-miR-361-5p
NONHSAT039767.2,hsa-miR-7-5p
NONHSAT039767.2,hsa-miR-4782-3p
NONHSAT039767.2,hsa-miR-219a-5p
NONHSAT039767.2,hsa-miR-361-5p
NONHSAT039756.2,hsa-miR-7-5p
NONHSAT039756.2,hsa-miR-4782-3p
NONHSAT039756.2,hsa-miR-219a-5p
NONHSAT039756.2,hsa-miR-361-5p
NONHSAT039742.2,hsa-miR-7-5p
NONHSAT039742.2,hsa-miR-4782-3p
NONHSAT039742.2,hsa-miR-219a-5p
NONHSAT039742.2,hsa-miR-361-5p
NONHSAT039755.2,hsa-miR-7-5p
NONHSAT039755.2,hsa-miR-4782-3p
NONHSAT039755.2,hsa-miR-219a-5p
NONHSAT039755.2,hsa-miR-361-5p
NONHSAT039772.2,hsa-miR-7-5p
NONHSAT039772.2,hsa-miR-4782-3p
NONHSAT039772.2,hsa-miR-219a-5p
NONHSAT039772.2,hsa-miR-361-5p
NONHSAT039764.2,hsa-miR-7-5p
NONHSAT039764.2,hsa-miR-4782-3p
NONHSAT039764.2,hsa-miR-219a-5p
NONHSAT039764.2,hsa-miR-361-5p
NONHSAT039757.2,hsa-miR-7-5p
NONHSAT039757.2,hsa-miR-4782-3p
NONHSAT039757.2,hsa-miR-219a-5p
NONHSAT039757.2,hsa-miR-361-5p
NONHSAT039742.2,hsa-miR-7-5p
NONHSAT039742.2,hsa-miR-4782-3p
NONHSAT039742.2,hsa-miR-219a-5p
NONHSAT039742.2,hsa-miR-361-5p
NONHSAT039738.2,hsa-miR-7-5p
NONHSAT039738.2,hsa-miR-4782-3p
NONHSAT039738.2,hsa-miR-219a-5p
NONHSAT039738.2,hsa-miR-361-5p
NONHSAT039745.2,hsa-miR-7-5p
NONHSAT039745.2,hsa-miR-4782-3p
NONHSAT039745.2,hsa-miR-219a-5p
NONHSAT039745.2,hsa-miR-361-5p
NONHSAT039775.2,hsa-miR-7-5p
NONHSAT039775.2,hsa-miR-4782-3p
NONHSAT039775.2,hsa-miR-219a-5p
NONHSAT039775.2,hsa-miR-361-5p
NONHSAT039763.2,hsa-miR-7-5p
NONHSAT039763.2,hsa-miR-4782-3p
NONHSAT039763.2,hsa-miR-219a-5p
NONHSAT039763.2,hsa-miR-361-5p
NONHSAT039748.2,hsa-miR-7-5p
NONHSAT039748.2,hsa-miR-4782-3p
NONHSAT039748.2,hsa-miR-219a-5p
NONHSAT039748.2,hsa-miR-361-5p
NONHSAT039746.2,hsa-miR-7-5p
NONHSAT039746.2,hsa-miR-4782-3p
NONHSAT039746.2,hsa-miR-219a-5p
NONHSAT039746.2,hsa-miR-361-5p
NONHSAT039784.2,hsa-miR-7-5p
NONHSAT039784.2,hsa-miR-4782-3p
NONHSAT039784.2,hsa-miR-219a-5p
NONHSAT039784.2,hsa-miR-361-5p
NONHSAT039761.2,hsa-miR-7-5p
NONHSAT039761.2,hsa-miR-4782-3p
NONHSAT039761.2,hsa-miR-219a-5p
NONHSAT039761.2,hsa-miR-361-5p
NONHSAT039744.2,hsa-miR-7-5p
NONHSAT039744.2,hsa-miR-4782-3p
NONHSAT039744.2,hsa-miR-219a-5p
NONHSAT039744.2,hsa-miR-361-5p
NONHSAT039774.2,hsa-miR-7-5p
NONHSAT039774.2,hsa-miR-4782-3p
NONHSAT039774.2,hsa-miR-219a-5p
NONHSAT039774.2,hsa-miR-361-5p
NONHSAT039747.2,hsa-miR-7-5p
NONHSAT039747.2,hsa-miR-4782-3p
NONHSAT039747.2,hsa-miR-219a-5p
NONHSAT039747.2,hsa-miR-361-5p
NONHSAT039734.2,hsa-miR-7-5p
NONHSAT039734.2,hsa-miR-4782-3p
NONHSAT039734.2,hsa-miR-219a-5p
NONHSAT039734.2,hsa-miR-361-5p
NONHSAT039771.2,hsa-miR-7-5p
NONHSAT039771.2,hsa-miR-4782-3p
NONHSAT039771.2,hsa-miR-219a-5p
NONHSAT039771.2,hsa-miR-361-5p
NONHSAT023656.2,hsa-miR-210-3p
NONHSAT023656.2,hsa-miR-379-5p
NONHSAT023656.2,hsa-miR-329-3p
NONHSAT023656.2,hsa-miR-376a-3p
NONHSAT023656.2,hsa-miR-376b-3p
NONHSAT023656.2,hsa-miR-3529-5p
NONHSAT023656.2,hsa-miR-216a-5p
NONHSAT023656.2,hsa-miR-362-3p
NONHSAT039802.2,hsa-miR-16-5p
NONHSAT039802.2,hsa-miR-15a-5p
NONHSAT039802.2,hsa-miR-195-5p
NONHSAT039802.2,hsa-miR-497-5p
NONHSAT039802.2,hsa-miR-15b-5p
NONHSAT039802.2,hsa-miR-424-5p
NONHSAT039813.2,hsa-miR-16-5p
NONHSAT039813.2,hsa-miR-15a-5p
NONHSAT039813.2,hsa-miR-195-5p
NONHSAT039813.2,hsa-miR-497-5p
NONHSAT039813.2,hsa-miR-15b-5p
NONHSAT039813.2,hsa-miR-424-5p
NONHSAT039832.2,hsa-miR-16-5p
NONHSAT039832.2,hsa-miR-15a-5p
NONHSAT039832.2,hsa-miR-195-5p
NONHSAT039832.2,hsa-miR-497-5p
NONHSAT039832.2,hsa-miR-15b-5p
NONHSAT039832.2,hsa-miR-424-5p
NONHSAT039835.2,hsa-miR-16-5p
NONHSAT039835.2,hsa-miR-15a-5p
NONHSAT039835.2,hsa-miR-195-5p
NONHSAT039835.2,hsa-miR-497-5p
NONHSAT039835.2,hsa-miR-15b-5p
NONHSAT039835.2,hsa-miR-424-5p
NONHSAT039877.2,hsa-miR-16-5p
NONHSAT039877.2,hsa-miR-15a-5p
NONHSAT039877.2,hsa-miR-195-5p
NONHSAT039877.2,hsa-miR-497-5p
NONHSAT039877.2,hsa-miR-15b-5p
NONHSAT039877.2,hsa-miR-424-5p
NONHSAT039815.2,hsa-miR-16-5p
NONHSAT039815.2,hsa-miR-15a-5p
NONHSAT039815.2,hsa-miR-195-5p
NONHSAT039815.2,hsa-miR-497-5p
NONHSAT039815.2,hsa-miR-15b-5p
NONHSAT039815.2,hsa-miR-424-5p
NONHSAT039853.2,hsa-miR-16-5p
NONHSAT039853.2,hsa-miR-15a-5p
NONHSAT039853.2,hsa-miR-195-5p
NONHSAT039853.2,hsa-miR-497-5p
NONHSAT039853.2,hsa-miR-15b-5p
NONHSAT039853.2,hsa-miR-424-5p
NONHSAT039875.2,hsa-miR-16-5p
NONHSAT039875.2,hsa-miR-15a-5p
NONHSAT039875.2,hsa-miR-195-5p
NONHSAT039875.2,hsa-miR-497-5p
NONHSAT039875.2,hsa-miR-15b-5p
NONHSAT039875.2,hsa-miR-424-5p
NONHSAT039809.2,hsa-miR-16-5p
NONHSAT039809.2,hsa-miR-15a-5p
NONHSAT039809.2,hsa-miR-195-5p
NONHSAT039809.2,hsa-miR-497-5p
NONHSAT039809.2,hsa-miR-15b-5p
NONHSAT039809.2,hsa-miR-424-5p
NONHSAT039812.2,hsa-miR-16-5p
NONHSAT039812.2,hsa-miR-15a-5p
NONHSAT039812.2,hsa-miR-195-5p
NONHSAT039812.2,hsa-miR-497-5p
NONHSAT039812.2,hsa-miR-15b-5p
NONHSAT039812.2,hsa-miR-424-5p
NONHSAT039834.2,hsa-miR-16-5p
NONHSAT039834.2,hsa-miR-15a-5p
NONHSAT039834.2,hsa-miR-195-5p
NONHSAT039834.2,hsa-miR-497-5p
NONHSAT039834.2,hsa-miR-15b-5p
NONHSAT039834.2,hsa-miR-424-5p
NONHSAT039855.2,hsa-miR-16-5p
NONHSAT039855.2,hsa-miR-15a-5p
NONHSAT039855.2,hsa-miR-195-5p
NONHSAT039855.2,hsa-miR-497-5p
NONHSAT039855.2,hsa-miR-15b-5p
NONHSAT039855.2,hsa-miR-424-5p
NONHSAT039854.2,hsa-miR-16-5p
NONHSAT039854.2,hsa-miR-15a-5p
NONHSAT039854.2,hsa-miR-195-5p
NONHSAT039854.2,hsa-miR-497-5p
NONHSAT039854.2,hsa-miR-15b-5p
NONHSAT039854.2,hsa-miR-424-5p
NONHSAT039869.2,hsa-miR-16-5p
NONHSAT039869.2,hsa-miR-15a-5p
